Location	County/Zone	St.	Date	Time	T.Z.	Type	Mag	Dth	Inj	PrD	CrD
MARSHALL ISLANDS (ZONE)	MARSHALL ISLANDS (ZONE)	XX	12/12/2001	0:00	SST	Hurricane (typhoon)		1	0	500.00K	400.00K
NORTHERN MARIANAS (ZONE)	NORTHERN MARIANAS (ZONE)	XX	12/23/2001	0:00	SST	Hurricane (typhoon)		0	0	50.00K	50.00K
MICRONESIA (ZONE)	MICRONESIA (ZONE)	XX	3/1/2002	0:00	SST	Hurricane (typhoon)		1	0	50.000M	100.000M
LOWER BALDWIN (ZONE)	LOWER BALDWIN (ZONE)	AL	10/2/2002	9:00	CST	Hurricane (typhoon)		0	0	75.00K	0.00K
UPPER BALDWIN (ZONE)	UPPER BALDWIN (ZONE)	AL	10/2/2002	9:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
UPPER MOBILE (ZONE)	UPPER MOBILE (ZONE)	AL	10/2/2002	9:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
LOWER MOBILE (ZONE)	LOWER MOBILE (ZONE)	AL	10/2/2002	9:00	CST	Hurricane (typhoon)		0	0	100.00K	0.00K
EAST BATON ROUGE (ZONE)	EAST BATON ROUGE (ZONE)	LA	10/2/2002	18:00	CST	Hurricane (typhoon)		0	0	5.540M	0.00K
POINTE COUPEE (ZONE)	POINTE COUPEE (ZONE)	LA	10/2/2002	18:00	CST	Hurricane (typhoon)		0	0	5.540M	0.00K
ORLEANS (ZONE)	ORLEANS (ZONE)	LA	10/2/2002	18:00	CST	Hurricane (typhoon)		0	0	5.540M	0.00K
LOWER TERREBONNE (ZONE)	LOWER TERREBONNE (ZONE)	LA	10/2/2002	18:00	CST	Hurricane (typhoon)		0	0	5.540M	0.00K
LOWER ST. BERNARD (ZONE)	LOWER ST. BERNARD (ZONE)	LA	10/2/2002	18:00	CST	Hurricane (typhoon)		0	0	5.540M	0.00K
UPPER ST. BERNARD (ZONE)	UPPER ST. BERNARD (ZONE)	LA	10/2/2002	18:00	CST	Hurricane (typhoon)		0	0	5.540M	0.00K
