Area,Poverty_Percent_2023
United States,12.5
Alabama,15.6
Alaska,10.4
Arizona,12.4
Arkansas,15.7
California,12.0
Colorado,9.3
Connecticut,10.3
Delaware,10.5
District of Columbia,14.0
Florida,12.3
Georgia,13.6
Hawaii,10.1
Idaho,10.1
Illinois,11.6
Indiana,12.3
Iowa,11.3
Kansas,11.2
Kentucky,16.4
Louisiana,18.9
Maine,10.4
Maryland,9.5
Massachusetts,10.4
Michigan,13.5
Minnesota,9.3
Mississippi,18.0
Missouri,12.0
Montana,11.7
Nebraska,10.5
Nevada,12.0
New Hampshire,7.2
New Jersey,9.7
New Mexico,17.8
New York,14.2
North Carolina,12.8
North Dakota,9.8
Ohio,13.3
Oklahoma,15.9
Oregon,12.2
Pennsylvania,12.0
Rhode Island,10.8
South Carolina,13.9
South Dakota,11.8
Tennessee,14.0
Texas,13.7
Utah,9.0
Vermont,9.7
Virginia,10.2
Washington,10.3
West Virginia,16.7
Wisconsin,10.7
Wyoming,11.3
Puerto Rico,39.6
